Pesticide,Description,Type
liquid copper soap,"Liquid Copper Fungicide controls a large variety of plant diseases including peach leaf curl, powdery mildew, black spot, rust, anthracnose, fire blight and bacterial leaf spot. Use on vegetables, roses, fruits and turf. Can be used up to the day of harvest.",Fungicide
bonide sulfur plant fungicide,"finely ground wettable powder containing 90% elemental sulfur. Controls diseases on fruits, vegetables and flowers. Effective against powdery mildew, rust, scab, brown rot, rose black spot and many more. Works on pest mites, too! Will not burn plants.",Fungicide
orchard spray,"a safe, one-hit concentrate for common insect attacks and fungal problems. Small-scale gardeners will find it a great value because it’s also formulated for use on vegetables, ornamental plants, houseplants and even lawns!",Pesticide
captan,The most common fungicide spray for apple fruit rots is captan. Captan is a contact fungicide that stays on the surface of the apple and stops energy production in the fungus. It has low toxicity at normal levels and quickly degrades in water.,Fungicide
thiophanate-methyl,Thiophanate-methyl is a xylem-mobile fungicide that penetrates into the apple tree and travels through the tree's liquid-transport system.,Fungicide
lime sulfur,"Dilute solutions of copper fungicide mixed with liquid lime-sulfur can help to control infection, but will not completely eradicate brown rot.",Fungicide
chlorothalonil,"This fungicide gives broad spectrum control of vegetable, flower, fruit and ornamental diseases including but not limited to anthracnose, leaf blights, downy mildew, powdery mildew, leaf curl, scab, black spot fusarium leaf spot and many other diseases.",Fungicide
immunox,"Prevents and kills black spot, brown patch, rust, powdery mildew, scab, blights, mold and other listed diseases",Pesticide
green cure fungicide,"Green Cure Fungicide is a highly effective powdery mildew treatment for indoor plants, greenhouse and garden crops and turf. Approved for organic production, it contains 85% potassium bicarbonate, a naturally occurring compound that is widely used in food and is safer for the environment than other alternatives.",Fungicide
sierra natural science sns 244 fungicide,"Made from 100% pure food grade materials, it works by killing fungal spores through a biochemical interaction. Some of the components of this product are also absorbed systemically by the plant, suppressing the life cycle of the fungus and nurturing the plant cells to increase the plant’s ability to fight the disease.",Fungicide
foliar fungicides,"The fungicides should be applied to plants infected by SCLB immediately once lesions become apparent. Depending on the environmental conditions, re-applications may be necessary during the growing season.",Fungicide
sovran 50wg,Sovran 50WG is registered for control of black rot. The Sovran label gives different use rates for control of different diseases. For black rot the rate is 3.2-4.8 oz/A. Sovran is excellent for control of black rot.,Pesticide
flint 50wg,"Flint 50WG is in the same general class of chemistry as Abound and Sovran. It is registered for the control of black rot, powdery mildew and suppression of downy mildew. For black rot the rate is 2.0 oz/A.",Pesticide
pristine 38wdg,"Pristine 38WDG contains a combination of two active ingredients (pyraclostrobin, 12.8% and boscalid 25.2%).Pyraclostrobin is in the same general class of chemistry as Abound, Sovran, and Flint (strobilurin Pristine is registered for use at the rates of 6-10.5 oz/A. A maximum of six applications may be made per season).",Pesticide
sodium arsenite,"The chemical isapplied at 1,250 g arsenite hl-1 according to athreshold of diseased vines ranging from 0.5 to 2.5%(depending on the number of plants per hectare). 

",Pesticide
dinitro-orthocresol,"Dinitro-orthocresol (DNOC) compounds weretested to assess the caustic disinfecting action onvine wood. DNOC sprays (1-1.5%) were applied atleast a few days after pruning (1,000 g a.i. hl-1) andagain 2 weeks before the start of budbreak (1,250g a.i. hl-1). ",Pesticide
fosetyl al foliar,Texicon Fosetyl-Al 80WP is a systemic fungicide which is rapidly absorbed through the plant leaves or roots with translocation both up and down inside the plant. It provides effective control against Phytophthora diseases in particular where most contact fungicides are often less effective.,Pesticide
mycoshield ,Mycoshield should be tank mixed with sulphur (6 lbs. per 100 gal.) or Captan (2 lb. per 100 gal.) for broad spectrum disease control. Bacterial spot sprays should be initiated at shuck-split and repeated at seven-day intervals through cover sprays.,Pesticide
dodine 65 wp,"Dodine is a guanidine derivative and acts predominantly as a protective fungicide, but also has a small degree of curative action. Its greatest use is in apples for the control of Venturia inaequalis (black spot or scab) and it is also used against a limited range of other diseases",Pesticide
cultural control,"Before planting, try to ensure that the seeds are disease-free. This is the best method to avoid initial infection and further spread of infection. Using sanitized tools will significantly reduce the chance of bacteria distribution from plant to plant while working with crops. Avoid the use of sprinkler irrigation as sprinklers increase the amount of splashing water amongst crops. This is a major factor in limiting the spread of bacteria between plants. Spacing plants properly is another way to reduce the amount of water splashing from plant to plant. If soil is too wet, improving soil drainage can be very useful to prevent further development and spread of the disease. Removing infected plants is another crucial way of hindering disease expansion. Lastly, crop rotation is should always be considered after dealing with infected crops as it can reduce the chance of crop diseases developing next season.",Pesticide
